customer_id,customer_name,segment,first_order_date,last_order_date,cohort_year,recency_days,lifetime_days,lifetime_years,orders_count,units_sold,aov,total_sales,total_profit,profit_margin_pct,avg_discount_pct,annualized_clv,r_score,f_score,m_score,rfm_code,rfm_segment,value_quadrant,clv_decile
CC-12430,Chuck Clark,Home Office,2023-05-20,2026-12-30,2023,0,1320,3.62,12,83,383.91,4606.95,314.22,6.82,7.6,1273.89,5,5,5,555,Champions,High Vol / High Profit,3
CC-12475,Cindy Chapman,Consumer,2023-05-16,2026-11-21,2023,39,1285,3.52,9,40,184.38,1659.44,154.85,9.33,16.15,471.36,4,5,2,452,Need Attention,Low Vol / Low Profit,8
CC-12550,Clay Cheatham,Consumer,2026-06-15,2026-12-03,2026,27,171,0.47,3,14,37.94,113.83,33.87,29.75,15.0,242.97,4,1,1,411,New Customers,Low Vol / Low Profit,9
CC-12610,Corey Catlett,Corporate,2023-08-27,2026-11-26,2023,34,1187,3.25,7,39,362.95,2540.63,331.43,13.05,27.5,781.24,4,3,3,433,Potential Loyalists,High Vol / High Profit,6
CC-12670,Craig Carreira,Consumer,2023-12-23,2026-12-01,2023,29,1074,2.94,7,47,324.24,2269.7,187.84,8.28,16.79,771.36,4,3,3,433,Potential Loyalists,High Vol / Low Profit,6
CC-12685,Craig Carroll,Consumer,2023-03-22,2024-10-23,2023,798,581,1.59,4,51,713.53,2854.12,850.16,29.79,25.0,1793.03,1,1,4,114,Need Attention,High Vol / High Profit,2
CD-11920,Carlos Daly,Consumer,2023-03-24,2026-11-20,2023,40,1337,3.66,5,35,406.79,2033.97,426.66,20.98,4.44,555.27,4,2,3,423,Potential Loyalists,Low Vol / High Profit,7
CD-11980,Carol Darley,Consumer,2025-11-24,2026-11-06,2025,54,347,0.95,3,22,213.26,639.77,-206.72,-32.31,43.33,672.95,3,1,1,311,Need Attention,Low Vol / Low Profit,6
CD-12280,Christina DeMoss,Consumer,2026-11-05,2026-11-18,2026,42,13,0.04,2,39,602.79,1205.58,233.03,19.33,8.46,1205.58,4,1,2,412,New Customers,Low Vol / High Profit,4
CD-12790,Cynthia Delaney,Home Office,2023-02-02,2025-11-26,2023,399,1028,2.82,5,49,372.15,1860.73,403.84,21.7,2.67,660.67,1,2,3,123,Need Attention,Low Vol / High Profit,7
CG-12040,Catherine Glotzbach,Home Office,2024-06-01,2026-11-11,2024,49,893,2.45,6,37,150.74,904.47,86.51,9.56,18.89,369.69,4,3,1,431,Need Attention,Low Vol / Low Profit,8
CG-12520,Claire Gute,Consumer,2024-10-15,2026-01-26,2024,338,468,1.28,3,14,382.93,1148.78,169.93,14.79,20.0,895.95,1,1,2,112,Lost / Hibernating,Low Vol / Low Profit,5
CH-12070,Cathy Hwang,Home Office,2024-06-25,2025-02-08,2024,690,228,0.62,3,13,512.41,1537.24,195.15,12.69,15.0,2460.93,1,1,2,112,Lost / Hibernating,Low Vol / Low Profit,1
CJ-11875,Carl Jackson,Corporate,2025-12-30,2025-12-30,2025,365,0,0.0,1,5,16.52,16.52,1.65,10.0,20.0,16.52,1,1,1,111,Lost / Hibernating,Low Vol / Low Profit,10
CJ-12010,Caroline Jumper,Consumer,2025-03-10,2026-06-24,2025,189,471,1.29,8,83,1395.62,11164.97,858.74,7.69,18.85,8652.26,2,4,5,245,Cant Lose Them,High Vol / High Profit,1
CK-12205,Chloris Kastensmidt,Consumer,2023-03-11,2026-11-21,2023,39,1351,3.7,13,122,242.68,3154.86,141.28,4.48,23.44,852.35,4,5,4,454,Champions,High Vol / Low Profit,5
CK-12325,Christine Kargatis,Home Office,2023-03-14,2026-09-01,2023,120,1267,3.47,5,46,589.06,2945.32,261.22,8.87,18.33,848.49,2,2,4,224,Need Attention,High Vol / High Profit,5
CK-12595,Clytie Kelty,Consumer,2023-12-26,2026-11-17,2023,43,1057,2.9,11,108,215.7,2372.75,497.71,20.98,18.4,819.35,4,5,3,453,Loyal Customers,High Vol / High Profit,6
CK-12760,Cyma Kinney,Corporate,2023-02-07,2026-10-09,2023,82,1340,3.67,9,64,175.79,1582.11,-338.43,-21.39,15.0,430.95,3,5,2,352,Need Attention,Low Vol / Low Profit,8
CL-11890,Carl Ludwig,Consumer,2023-07-26,2026-09-15,2023,106,1147,3.14,4,24,315.5,1262.01,328.08,26.0,5.71,401.6,2,1,2,212,Lost / Hibernating,Low Vol / High Profit,8
CL-12565,Clay Ludtke,Consumer,2023-03-04,2026-03-21,2023,284,1113,3.05,12,106,906.71,10880.55,1933.78,17.77,11.43,3568.19,1,5,5,155,Cant Lose Them,High Vol / High Profit,1
CL-12700,Craig Leslie,Home Office,2025-04-24,2026-09-16,2025,105,510,1.4,5,34,470.72,2353.59,229.01,9.73,18.75,1684.43,2,2,3,223,Need Attention,High Vol / High Profit,2
CM-11815,Candace McMahon,Corporate,2023-11-14,2026-08-21,2023,131,1011,2.77,6,38,278.98,1673.89,214.46,12.81,12.0,604.32,2,3,2,232,Need Attention,Low Vol / Low Profit,7
CM-11935,Carlos Meador,Consumer,2024-09-24,2025-01-22,2024,707,120,0.33,2,18,282.7,565.39,-43.73,-7.73,20.0,1719.73,1,1,1,111,Lost / Hibernating,Low Vol / Low Profit,2
CM-12115,Chad McGuire,Consumer,2024-03-29,2026-12-22,2024,8,998,2.73,4,35,415.4,1661.61,409.07,24.62,2.86,607.7,5,1,2,512,New Customers,Low Vol / High Profit,7
CM-12160,Charles McCrossin,Consumer,2025-10-21,2026-12-04,2025,26,409,1.12,6,23,422.22,2533.31,-394.37,-15.57,24.29,2260.78,5,3,3,533,Potential Loyalists,High Vol / Low Profit,1
CM-12190,Charlotte Melton,Consumer,2024-09-18,2026-12-22,2024,8,825,2.26,6,21,245.86,1475.14,91.2,6.18,7.14,652.64,5,3,2,532,Need Attention,Low Vol / Low Profit,7
CM-12235,Chris McAfee,Consumer,2025-05-01,2025-12-10,2025,385,223,0.61,5,28,461.14,2305.71,365.04,15.83,7.5,3773.92,1,2,3,123,Need Attention,High Vol / High Profit,1
CM-12385,Christopher Martinez,Consumer,2024-03-16,2026-11-23,2024,37,982,2.69,4,34,2238.5,8954.02,3899.89,43.55,12.0,3328.12,4,1,5,415,Need Attention,High Vol / High Profit,1
CM-12445,Chuck Magee,Consumer,2023-06-09,2025-10-20,2023,436,864,2.37,3,32,96.0,287.99,64.43,22.37,7.78,121.66,1,1,1,111,Lost / Hibernating,Low Vol / Low Profit,10
CM-12655,Corinna Mitchell,Home Office,2024-03-19,2026-12-03,2024,27,989,2.71,6,42,1056.59,6339.56,1572.46,24.8,7.2,2339.67,4,3,5,435,Potential Loyalists,High Vol / High Profit,1
CM-12715,Craig Molinari,Corporate,2023-03-07,2024-03-01,2023,1034,360,0.99,4,57,996.11,3984.45,176.31,4.42,30.92,4039.79,1,1,4,114,Need Attention,High Vol / Low Profit,1
CP-12085,Cathy Prescott,Corporate,2023-12-04,2026-10-09,2023,82,1040,2.85,8,57,675.28,5402.25,427.03,7.9,14.29,1895.98,3,4,5,345,Loyal Customers,High Vol / High Profit,2
CP-12340,Christine Phan,Corporate,2023-03-17,2026-07-23,2023,160,1224,3.35,8,59,736.03,5888.28,-1850.3,-31.42,21.33,1755.9,2,4,5,245,Cant Lose Them,High Vol / Low Profit,2
CR-12580,Clay Rozendal,Home Office,2025-04-18,2026-11-03,2025,57,564,1.55,4,32,537.21,2148.85,74.4,3.46,13.33,1390.66,3,1,3,313,Need Attention,Low Vol / Low Profit,3
CR-12625,Corey Roper,Home Office,2023-06-01,2025-09-16,2023,470,838,2.3,3,14,158.63,475.9,144.76,30.42,0.0,207.28,1,1,1,111,Lost / Hibernating,Low Vol / Low Profit,10
CR-12730,Craig Reiter,Consumer,2023-08-20,2026-10-13,2023,78,1150,3.15,4,18,400.14,1600.55,306.92,19.18,26.67,508.0,3,1,2,312,Need Attention,Low Vol / High Profit,8
CR-12820,Cyra Reiten,Home Office,2024-01-24,2026-10-06,2024,85,986,2.7,3,26,465.96,1397.87,83.27,5.96,13.14,517.47,3,1,2,312,Need Attention,Low Vol / Low Profit,7
CS-11845,Cari Sayre,Corporate,2023-12-14,2026-09-30,2023,91,1021,2.8,5,22,255.79,1278.95,185.38,14.49,27.5,457.22,3,2,2,322,Need Attention,Low Vol / Low Profit,8
CS-11860,Cari Schnelling,Consumer,2023-05-02,2026-07-21,2023,162,1176,3.22,6,16,89.61,537.63,105.83,19.68,22.86,166.87,2,3,1,231,Need Attention,Low Vol / Low Profit,10
CS-11950,Carlos Soltero,Consumer,2023-06-08,2026-12-05,2023,25,1276,3.5,11,68,276.05,3036.55,-126.42,-4.16,26.36,868.6,5,5,4,554,Champions,High Vol / Low Profit,5
CS-12130,Chad Sievert,Consumer,2023-08-05,2025-08-28,2023,489,754,2.07,4,28,221.16,884.64,143.83,16.26,11.43,428.24,1,1,1,111,Lost / Hibernating,Low Vol / Low Profit,8
CS-12175,Charles Sheldon,Corporate,2023-08-12,2026-05-12,2023,232,1004,2.75,5,30,168.89,844.46,113.14,13.4,16.25,307.0,1,2,1,121,Lost / Hibernating,Low Vol / Low Profit,9
CS-12250,Chris Selesnick,Corporate,2023-01-13,2026-12-04,2023,26,1421,3.89,12,97,229.52,2754.22,738.36,26.81,5.71,707.45,5,5,4,554,Champions,High Vol / High Profit,6
CS-12355,Christine Sundaresam,Consumer,2023-08-15,2026-12-24,2023,6,1227,3.36,11,74,291.11,3202.16,831.94,25.98,8.18,952.56,5,5,4,554,Champions,High Vol / High Profit,5
CS-12400,Christopher Schild,Home Office,2023-09-26,2026-12-28,2023,2,1189,3.26,9,47,405.76,3651.86,-342.8,-9.39,21.43,1121.05,5,5,4,554,Champions,High Vol / Low Profit,4
CS-12460,Chuck Sachs,Consumer,2026-07-03,2026-12-03,2026,27,153,0.42,2,13,275.32,550.64,156.26,28.38,6.67,1313.63,4,1,1,411,New Customers,Low Vol / Low Profit,3
CS-12490,Cindy Schnelling,Corporate,2024-01-12,2025-11-01,2024,424,659,1.81,4,33,269.31,1077.23,-302.88,-28.12,25.0,596.64,1,1,2,112,Lost / Hibernating,Low Vol / Low Profit,7
CS-12505,Cindy Stewart,Consumer,2023-03-26,2026-11-02,2023,58,1317,3.61,6,40,948.34,5690.06,-6626.39,-116.46,20.0,1576.97,3,3,5,335,Need Attention,High Vol / Low Profit,3
CT-11995,Carol Triggs,Consumer,2023-05-07,2026-09-25,2023,96,1237,3.39,11,104,409.42,4503.62,400.86,8.9,15.0,1328.88,3,5,5,355,Loyal Customers,High Vol / High Profit,3
CV-12295,Christina VanderZanden,Consumer,2023-03-28,2026-04-20,2023,254,1119,3.07,5,54,566.13,2830.63,493.09,17.42,7.69,923.31,1,2,4,124,Need Attention,High Vol / High Profit,5
CV-12805,Cynthia Voltz,Corporate,2025-05-09,2026-12-25,2025,5,595,1.63,9,62,263.37,2370.31,99.0,4.18,24.32,1454.06,5,5,3,553,Loyal Customers,High Vol / Low Profit,3
CW-11905,Carl Weiss,Home Office,2023-06-09,2026-12-08,2023,22,1278,3.5,6,40,189.43,1136.59,370.83,32.63,9.09,324.61,5,3,2,532,Need Attention,Low Vol / High Profit,9
CY-12745,Craig Yedwab,Corporate,2023-12-12,2026-10-31,2023,60,1054,2.89,8,43,362.5,2900.03,60.65,2.09,20.0,1004.28,3,4,4,344,Loyal Customers,High Vol / Low Profit,5
Co-12640,Corey-Lock,Consumer,2023-06-20,2025-06-29,2023,549,740,2.03,5,30,260.02,1300.08,205.63,15.82,17.5,641.25,1,2,2,122,Lost / Hibernating,Low Vol / Low Profit,7
DA-13450,Dianna Arnett,Home Office,2023-04-25,2026-01-12,2023,352,993,2.72,4,27,39.19,156.76,56.79,36.23,12.5,57.62,1,1,1,111,Lost / Hibernating,Low Vol / Low Profit,10
DB-12910,Daniel Byrd,Home Office,2023-10-24,2026-12-09,2023,21,1142,3.13,8,47,271.45,2171.6,431.37,19.86,15.42,694.07,5,4,3,543,Loyal Customers,Low Vol / High Profit,6
DB-12970,Darren Budd,Corporate,2023-11-12,2026-05-03,2023,241,903,2.47,5,43,567.85,2839.23,213.0,7.5,16.57,1147.64,1,2,4,124,Need Attention,High Vol / Low Profit,4
DB-13060,Dave Brooks,Consumer,2023-03-01,2026-12-14,2023,16,1384,3.79,7,48,647.38,4531.65,473.03,10.44,18.46,1195.12,5,3,5,535,Potential Loyalists,High Vol / High Profit,4
DB-13120,David Bremer,Corporate,2024-05-01,2026-11-12,2024,48,925,2.53,7,59,424.73,2973.09,-1421.77,-47.82,14.29,1173.17,4,3,4,434,Potential Loyalists,High Vol / Low Profit,4
DB-13210,Dean Braden,Consumer,2024-03-22,2026-12-21,2024,9,1004,2.75,10,75,233.26,2332.58,169.97,7.29,18.57,848.0,5,5,3,553,Loyal Customers,High Vol / Low Profit,6
DB-13270,Deborah Brumfield,Home Office,2023-02-04,2026-11-07,2023,53,1372,3.76,8,52,581.99,4655.9,841.83,18.08,20.77,1238.63,3,4,5,345,Loyal Customers,High Vol / High Profit,4
DB-13360,Dennis Bolton,Home Office,2023-11-19,2026-04-10,2023,264,873,2.39,5,28,216.29,1081.47,291.01,26.91,8.33,452.16,1,2,2,122,Lost / Hibernating,Low Vol / High Profit,8
DB-13405,Denny Blanton,Consumer,2023-08-08,2026-08-08,2023,144,1096,3.0,8,100,459.34,3674.68,1221.02,33.23,3.85,1223.78,2,4,4,244,Cant Lose Them,High Vol / High Profit,4
DB-13555,Dorothy Badders,Corporate,2023-04-21,2026-09-14,2023,107,1242,3.4,7,61,558.4,3908.8,109.33,2.8,15.14,1148.72,2,3,4,234,At Risk,High Vol / Low Profit,4
DB-13615,Doug Bickford,Consumer,2023-09-30,2026-11-27,2023,33,1154,3.16,7,41,284.15,1989.05,438.8,22.06,14.55,629.12,4,3,3,433,Potential Loyalists,Low Vol / High Profit,7
DB-13660,Duane Benoit,Consumer,2023-06-17,2026-12-18,2023,12,1280,3.51,7,33,165.03,1155.2,177.67,15.38,16.0,329.41,5,3,2,532,Need Attention,Low Vol / Low Profit,9
DC-12850,Dan Campbell,Consumer,2023-07-05,2026-11-23,2023,37,1237,3.39,9,64,370.69,3336.17,-1441.63,-43.21,21.11,984.4,4,5,4,454,Champions,High Vol / Low Profit,5
DC-13285,Debra Catini,Consumer,2023-12-29,2026-12-07,2023,23,1074,2.94,5,37,234.92,1174.62,132.07,11.24,7.86,399.2,5,2,2,522,New Customers,Low Vol / Low Profit,8
DD-13570,Dorothy Dickinson,Consumer,2023-03-31,2026-11-19,2023,41,1329,3.64,6,33,44.92,269.54,36.43,13.52,24.44,74.03,4,3,1,431,Need Attention,Low Vol / Low Profit,10
DE-13255,Deanra Eno,Home Office,2023-08-22,2025-01-11,2023,718,508,1.39,5,38,510.17,2550.87,464.47,18.21,11.11,1832.81,1,2,3,123,Need Attention,High Vol / High Profit,2
DF-13135,David Flashing,Consumer,2023-10-04,2025-01-30,2023,699,484,1.33,3,23,796.84,2390.53,-259.31,-10.85,28.33,1802.78,1,1,3,113,Need Attention,High Vol / Low Profit,2
DG-13300,Deirdre Greer,Corporate,2023-11-01,2026-11-28,2023,32,1123,3.08,5,39,639.16,3195.82,562.78,17.61,10.0,1038.71,4,2,4,424,Potential Loyalists,High Vol / High Profit,4
DH-13075,Dave Hallsten,Corporate,2023-11-21,2026-03-28,2023,277,858,2.35,6,81,822.15,4932.87,1193.74,24.2,7.83,2098.48,1,3,5,135,At Risk,High Vol / High Profit,2
DH-13675,Duane Huffman,Home Office,2023-08-12,2024-11-15,2023,775,461,1.26,4,41,260.77,1043.1,116.67,11.18,12.27,825.88,1,1,2,112,Lost / Hibernating,Low Vol / Low Profit,6
DJ-13420,Denny Joy,Corporate,2023-12-08,2025-04-02,2023,637,481,1.32,4,20,503.13,2012.52,483.04,24.0,0.0,1527.17,1,1,3,113,Need Attention,Low Vol / High Profit,3
DJ-13510,Don Jones,Corporate,2023-08-17,2026-11-12,2023,48,1183,3.24,8,52,312.71,2501.69,345.25,13.8,6.92,771.86,4,4,3,443,Loyal Customers,High Vol / High Profit,6
DJ-13630,Doug Jacobs,Consumer,2024-12-14,2026-12-18,2024,12,734,2.01,3,43,1118.8,3356.4,731.56,21.8,6.25,1669.05,5,1,4,514,Need Attention,High Vol / High Profit,2
DK-12835,Damala Kotsonis,Corporate,2023-03-26,2026-12-09,2023,21,1354,3.71,12,86,271.37,3256.48,881.12,27.06,17.78,877.85,5,5,4,554,Champions,High Vol / High Profit,5
DK-12895,Dana Kaydos,Consumer,2024-03-08,2026-11-15,2024,45,982,2.69,5,65,856.44,4282.18,937.65,21.9,8.0,1591.64,4,2,4,424,Potential Loyalists,High Vol / High Profit,3
DK-12985,Darren Koutras,Consumer,2023-11-24,2026-12-23,2023,7,1125,3.08,5,32,337.41,1687.04,-107.35,-6.36,16.25,547.35,5,2,2,522,New Customers,Low Vol / Low Profit,7
DK-13090,Dave Kipp,Consumer,2024-03-02,2026-11-18,2024,42,991,2.72,7,33,378.65,2650.56,536.39,20.24,13.85,976.24,4,3,3,433,Potential Loyalists,High Vol / High Profit,5
DK-13150,David Kendrick,Corporate,2023-12-05,2026-12-20,2023,10,1111,3.04,2,20,398.92,797.83,249.94,31.33,12.0,262.11,5,1,1,511,New Customers,Low Vol / High Profit,9
DK-13225,Dean Katz,Corporate,2023-03-14,2026-12-20,2023,10,1377,3.77,9,70,533.6,4802.39,209.9,4.37,19.47,1272.97,5,5,5,555,Champions,High Vol / Low Profit,3
DK-13375,Dennis Kane,Consumer,2023-09-07,2026-12-11,2023,19,1191,3.26,8,77,414.81,3318.49,377.08,11.36,10.87,1017.0,5,4,4,544,Champions,High Vol / High Profit,4
DL-12865,Dan Lawera,Consumer,2023-06-29,2026-09-21,2023,100,1180,3.23,8,51,187.89,1503.11,322.24,21.44,15.0,464.95,3,4,2,342,Need Attention,Low Vol / High Profit,8
DL-12925,Daniel Lacy,Consumer,2023-09-09,2026-11-03,2023,57,1151,3.15,6,43,545.37,3272.2,4.21,0.13,3.57,1037.67,3,3,4,334,Need Attention,High Vol / Low Profit,4
DL-13315,Delfina Latchford,Consumer,2023-01-16,2026-12-08,2023,22,1422,3.9,8,74,182.28,1458.26,288.87,19.81,18.24,374.31,5,4,2,542,Need Attention,Low Vol / High Profit,8
DL-13330,Denise Leinenbach,Consumer,2023-06-23,2026-11-03,2023,57,1229,3.37,4,32,146.26,585.02,222.68,38.06,5.0,173.74,3,1,1,311,Need Attention,Low Vol / Low Profit,10
DL-13495,Dionis Lloyd,Corporate,2024-12-25,2026-10-15,2024,76,659,1.81,8,33,442.42,3539.32,-52.79,-1.49,5.0,1960.32,3,4,4,344,Loyal Customers,High Vol / Low Profit,2
DM-12955,Dario Medina,Corporate,2023-09-30,2026-09-07,2023,114,1073,2.94,7,28,188.86,1322.03,108.76,8.23,16.67,449.71,2,3,2,232,Need Attention,Low Vol / Low Profit,8
DM-13015,Darrin Martin,Consumer,2023-09-14,2026-11-03,2023,57,1146,3.14,7,87,906.44,6345.1,1677.39,26.44,23.0,2020.91,3,3,5,335,Need Attention,High Vol / High Profit,2
DM-13345,Denise Monton,Corporate,2023-11-03,2026-12-08,2023,22,1131,3.1,8,41,509.31,4074.47,1319.06,32.37,10.0,1314.93,5,4,4,544,Champions,High Vol / High Profit,3
DM-13525,Don Miller,Corporate,2023-07-05,2025-09-05,2023,481,793,2.17,3,33,458.93,1376.79,199.77,14.51,17.0,633.71,1,1,2,112,Lost / Hibernating,Low Vol / Low Profit,7
DN-13690,Duane Noonan,Consumer,2023-09-20,2026-05-27,2023,217,980,2.68,7,41,305.68,2139.79,540.54,25.26,1.82,796.96,2,3,3,233,At Risk,Low Vol / High Profit,6
DO-13435,Denny Ordway,Consumer,2023-10-03,2026-08-19,2023,133,1051,2.88,9,48,144.45,1300.03,-38.91,-2.99,15.77,451.49,2,5,2,252,Need Attention,Low Vol / Low Profit,8
DO-13645,Doug O'Connell,Consumer,2023-08-19,2026-12-04,2023,26,1203,3.3,9,38,227.03,2043.3,658.78,32.24,7.69,619.95,5,5,3,553,Loyal Customers,Low Vol / High Profit,7
DP-13000,Darren Powers,Consumer,2023-01-03,2026-08-26,2023,126,1331,3.65,9,58,116.74,1050.64,241.45,22.98,21.18,288.12,2,5,2,252,Need Attention,Low Vol / High Profit,9
DP-13105,Dave Poirier,Corporate,2024-08-22,2026-12-24,2024,6,854,2.34,8,63,276.88,2215.0,563.18,25.43,11.43,946.69,5,4,3,543,Loyal Customers,Low Vol / High Profit,5
DP-13165,David Philippe,Consumer,2023-12-02,2024-10-10,2023,811,313,0.86,2,20,529.31,1058.62,-40.94,-3.87,15.0,1234.49,1,1,2,112,Lost / Hibernating,Low Vol / Low Profit,4
DP-13390,Dennis Pardue,Home Office,2023-07-05,2026-01-06,2023,358,916,2.51,9,50,608.97,5480.72,1571.83,28.68,18.57,2183.91,1,5,5,155,Cant Lose Them,High Vol / High Profit,2
DR-12880,Dan Reichenbach,Corporate,2024-09-25,2026-12-27,2024,3,823,2.25,9,103,725.34,6528.03,1641.86,25.15,13.33,2895.18,5,5,5,555,Champions,High Vol / High Profit,1
DR-12940,Daniel Raglin,Home Office,2023-03-28,2026-11-10,2023,50,1323,3.62,8,57,1043.86,8350.87,2869.08,34.36,15.38,2303.91,4,4,5,445,Champions,High Vol / High Profit,1
DS-13030,Darrin Sayre,Home Office,2023-07-09,2026-09-28,2023,93,1177,3.22,4,54,440.55,1762.21,193.33,10.97,13.95,546.48,3,1,3,313,Need Attention,Low Vol / Low Profit,7
DS-13180,David Smith,Corporate,2023-04-28,2026-12-07,2023,23,1319,3.61,9,68,320.2,2881.81,163.7,5.68,15.35,797.47,5,5,4,554,Champions,High Vol / Low Profit,6
DV-13045,Darrin Van Huff,Corporate,2025-06-12,2026-12-11,2025,19,547,1.5,5,28,223.9,1119.48,-427.18,-38.16,17.22,747.0,5,2,2,522,New Customers,Low Vol / Low Profit,6
DV-13465,Dianna Vittorini,Consumer,2023-06-22,2026-12-01,2023,29,1258,3.45,6,62,556.93,3341.59,353.21,10.57,11.33,969.54,4,3,4,434,Potential Loyalists,High Vol / High Profit,5
DW-13195,David Wiener,Corporate,2023-01-18,2026-10-22,2023,69,1373,3.76,6,39,180.13,1080.75,-86.87,-8.04,24.44,287.31,3,3,2,332,Need Attention,Low Vol / Low Profit,9
DW-13480,Dianna Wilson,Home Office,2023-06-01,2026-05-27,2023,217,1091,2.99,5,38,1054.33,5271.63,1348.76,25.59,3.64,1763.65,2,2,5,225,Need Attention,High Vol / High Profit,2
DW-13540,Don Weiss,Consumer,2025-02-27,2026-09-23,2025,98,573,1.57,5,21,68.82,344.08,69.67,20.25,17.78,219.18,3,2,1,321,Need Attention,Low Vol / Low Profit,9
DW-13585,Dorothy Wardle,Corporate,2023-08-24,2026-05-02,2023,242,982,2.69,7,44,172.12,1204.85,-266.9,-22.15,17.0,447.83,1,3,2,132,Need Attention,Low Vol / Low Profit,8
Dl-13600,Dorris liebe,Corporate,2023-03-30,2026-09-02,2023,119,1252,3.43,5,19,151.12,755.6,175.24,23.19,21.67,220.28,2,2,1,221,Lost / Hibernating,Low Vol / Low Profit,9
Dp-13240,Dean percer,Home Office,2023-05-26,2026-10-07,2023,84,1230,3.37,11,99,654.43,7198.76,333.36,4.63,18.62,2136.22,3,5,5,355,Loyal Customers,High Vol / High Profit,2
EA-14035,Erin Ashbrook,Corporate,2023-09-13,2026-07-31,2023,152,1052,2.88,13,87,218.98,2846.7,-52.74,-1.85,30.0,987.69,2,5,4,254,Cant Lose Them,High Vol / Low Profit,5
EB-13705,Ed Braxton,Corporate,2023-07-08,2026-11-12,2023,48,1223,3.35,9,55,405.0,3644.98,13.62,0.37,25.83,1087.83,4,5,4,454,Champions,High Vol / Low Profit,4
EB-13750,Edward Becker,Corporate,2024-03-12,2026-11-25,2024,35,988,2.71,10,91,323.63,3236.31,-80.29,-2.48,14.5,1195.6,4,5,4,454,Champions,High Vol / Low Profit,4
EB-13840,Ellis Ballard,Corporate,2023-05-30,2026-10-01,2023,90,1220,3.34,5,41,871.63,4358.13,656.2,15.06,12.5,1303.87,3,2,5,325,Need Attention,High Vol / High Profit,3
EB-13870,Emily Burns,Consumer,2023-05-05,2026-09-21,2023,100,1235,3.38,10,41,276.72,2767.22,261.53,9.45,29.09,817.84,3,5,4,354,Loyal Customers,High Vol / High Profit,6
EB-13930,Eric Barreto,Consumer,2023-02-02,2026-07-22,2023,161,1266,3.47,5,24,188.92,944.6,0.6,0.06,17.14,272.34,2,2,2,222,Lost / Hibernating,Low Vol / Low Profit,9
EB-13975,Erica Bern,Corporate,2025-01-04,2026-12-30,2025,0,725,1.99,4,18,410.81,1643.26,162.88,9.91,28.33,827.29,5,1,2,512,New Customers,Low Vol / Low Profit,6
EB-14110,Eugene Barchas,Consumer,2024-04-13,2026-09-08,2024,113,878,2.41,6,30,511.85,3071.13,184.77,6.02,20.91,1276.72,2,3,4,234,At Risk,High Vol / Low Profit,3
EB-14170,Evan Bailliet,Consumer,2023-09-29,2026-10-09,2023,82,1106,3.03,6,20,197.72,1186.33,282.17,23.79,22.86,391.51,3,3,2,332,Need Attention,Low Vol / High Profit,8
EC-14050,Erin Creighton,Consumer,2023-12-17,2026-11-07,2023,53,1056,2.89,5,37,92.38,461.91,96.43,20.88,10.0,159.66,3,2,1,321,Need Attention,Low Vol / Low Profit,10
ED-13885,Emily Ducich,Home Office,2023-08-09,2026-08-17,2023,135,1104,3.02,8,54,435.62,3484.92,670.44,19.24,21.43,1152.17,2,4,4,244,Cant Lose Them,High Vol / High Profit,4
EG-13900,Emily Grady,Consumer,2024-11-02,2026-12-08,2024,22,766,2.1,5,44,366.4,1832.02,104.27,5.69,20.0,872.96,5,2,3,523,Potential Loyalists,Low Vol / Low Profit,5
EH-13765,Edward Hooks,Corporate,2023-04-12,2026-08-17,2023,135,1223,3.35,12,120,859.24,10310.88,1393.52,13.51,7.19,3077.25,2,5,5,255,Cant Lose Them,High Vol / High Profit,1
EH-13945,Eric Hoffmann,Consumer,2023-07-02,2026-05-27,2023,217,1060,2.9,8,72,85.52,684.17,53.54,7.83,29.41,235.59,2,4,1,241,Need Attention,Low Vol / Low Profit,9
EH-13990,Erica Hackney,Consumer,2023-01-15,2025-11-20,2023,405,1040,2.85,6,20,137.66,825.95,150.38,18.21,6.25,289.88,1,3,1,131,Need Attention,Low Vol / Low Profit,9
EH-14005,Erica Hernandez,Home Office,2023-05-13,2026-12-28,2023,2,1325,3.63,7,50,174.22,1219.53,-94.14,-7.72,17.27,335.95,5,3,2,532,Need Attention,Low Vol / Low Profit,9
EH-14125,Eugene Hildebrand,Home Office,2023-10-19,2026-10-19,2023,72,1096,3.0,14,84,224.53,3143.48,117.81,3.75,16.82,1046.87,3,5,4,354,Loyal Customers,High Vol / Low Profit,4
EH-14185,Evan Henry,Consumer,2023-05-22,2026-09-16,2023,105,1213,3.32,6,22,153.98,923.88,242.11,26.21,28.75,278.0,2,3,1,231,Need Attention,Low Vol / High Profit,9
EJ-13720,Ed Jacobs,Consumer,2023-01-27,2026-03-03,2023,302,1131,3.1,4,31,540.54,2162.17,387.02,17.9,17.5,697.78,1,1,3,113,Need Attention,Low Vol / High Profit,6
EJ-14155,Eva Jacobs,Consumer,2023-03-03,2026-11-03,2023,57,1341,3.67,5,31,531.34,2656.69,451.88,17.01,6.25,723.11,3,2,3,323,Need Attention,High Vol / High Profit,6
EK-13795,Eileen Kiefer,Home Office,2023-03-18,2026-11-16,2023,44,1339,3.67,4,18,325.87,1303.48,97.11,7.45,8.75,355.32,4,1,2,412,New Customers,Low Vol / Low Profit,9
